,rules,support,confidence,lift,count
1,{IT0001381} => {IT0001376},0.010206494,0.941818182,85.05187965,259
2,{IT0001376} => {IT0001381},0.010206494,0.921708185,85.05187965,259
3,{IT0001084} => {IT0001096},0.013910782,0.554160126,14.94406732,353
4,{IT0001096} => {IT0001084},0.013910782,0.375132837,14.94406732,353
5,{IT0001101} => {IT0001076},0.011664565,0.439821694,2.121040537,296
6,{IT0001076} => {IT0001101},0.011664565,0.056252376,2.121040537,296
7,{IT0001101} => {IT0001088},0.013122636,0.494799406,2.184037175,333
8,{IT0001088} => {IT0001101},0.013122636,0.057923117,2.184037175,333
9,{IT0001170} => {IT0001159},0.010442938,0.43946932,9.622065113,265
10,{IT0001159} => {IT0001170},0.010442938,0.228645384,9.622065113,265
11,{IT0001433} => {IT0001415},0.010167087,0.412140575,14.09498549,258
12,{IT0001415} => {IT0001433},0.010167087,0.347708895,14.09498549,258
13,{IT0001040} => {IT0001020},0.012492119,0.334741288,1.904572855,317
14,{IT0001020} => {IT0001040},0.012492119,0.071076233,1.904572855,317
15,{IT0001040} => {IT0001012},0.013162043,0.352692714,1.453382641,334
16,{IT0001012} => {IT0001040},0.013162043,0.054238389,1.453382641,334
17,{IT0001068} => {IT0001020},0.014738335,0.31965812,1.81875436,374
18,{IT0001020} => {IT0001068},0.014738335,0.083856502,1.81875436,374
19,{IT0001068} => {IT0001012},0.016905738,0.366666667,1.510966764,429
20,{IT0001012} => {IT0001068},0.016905738,0.069665476,1.510966764,429
21,{IT0001159} => {IT0001151},0.011506936,0.251941329,2.786949938,292
22,{IT0001151} => {IT0001159},0.011506936,0.127288579,2.786949938,292
23,{IT0001162} => {IT0001151},0.02435372,0.479441427,5.303533419,618
24,{IT0001151} => {IT0001162},0.02435372,0.269398431,5.303533419,618
25,{IT0001162} => {IT0001020},0.011664565,0.229635376,1.306553208,296
26,{IT0001020} => {IT0001162},0.011664565,0.066367713,1.306553208,296
27,{IT0001162} => {IT0001076},0.012255675,0.241272304,1.163535916,311
28,{IT0001076} => {IT0001162},0.012255675,0.059103003,1.163535916,311
29,{IT0001162} => {IT0001012},0.013634931,0.268425136,1.106131251,346
30,{IT0001012} => {IT0001162},0.013634931,0.056187074,1.106131251,346
31,{IT0001162} => {IT0001088},0.011664565,0.229635376,1.013607116,296
32,{IT0001088} => {IT0001162},0.011664565,0.051487215,1.013607116,296
33,{IT0001113} => {IT0001020},0.010837011,0.168195719,0.956980842,275
34,{IT0001020} => {IT0001113},0.010837011,0.061659193,0.956980842,275
35,{IT0001113} => {IT0001076},0.025181274,0.390825688,1.884757252,639
36,{IT0001076} => {IT0001113},0.025181274,0.121436716,1.884757252,639
37,{IT0001113} => {IT0001012},0.013240858,0.205504587,0.846847094,336
38,{IT0001012} => {IT0001113},0.013240858,0.05456317,0.846847094,336
39,{IT0001113} => {IT0001088},0.025654161,0.398165138,1.757494961,651
40,{IT0001088} => {IT0001113},0.025654161,0.113237085,1.757494961,651
41,{IT0001151} => {IT0001020},0.021398172,0.236704446,1.346773998,543
42,{IT0001020} => {IT0001151},0.021398172,0.121748879,1.346773998,543
43,{IT0001151} => {IT0001076},0.020255359,0.224062772,1.080542933,514
44,{IT0001076} => {IT0001151},0.020255359,0.09768149,1.080542933,514
45,{IT0001151} => {IT0001012},0.024787201,0.274193548,1.129901832,629
46,{IT0001012} => {IT0001151},0.024787201,0.102143553,1.129901832,629
47,{IT0001151} => {IT0001088},0.01950662,0.215780296,0.952451001,495
48,{IT0001088} => {IT0001151},0.01950662,0.086101931,0.952451001,495
49,{IT0001020} => {IT0001076},0.043111602,0.24529148,1.182918395,1094
50,{IT0001076} => {IT0001020},0.043111602,0.207905739,1.182918395,1094
51,{IT0001020} => {IT0001012},0.085986759,0.489237668,2.016059608,2182
52,{IT0001012} => {IT0001020},0.085986759,0.354335823,2.016059608,2182
53,{IT0001020} => {IT0001088},0.044924338,0.255605381,1.128238329,1140
54,{IT0001088} => {IT0001020},0.044924338,0.198295356,1.128238329,1140
55,{IT0001076} => {IT0001012},0.047801072,0.230520715,0.949934013,1213
56,{IT0001012} => {IT0001076},0.047801072,0.196979539,0.949934013,1213
57,{IT0001076} => {IT0001088},0.110222257,0.53154694,2.346240243,2797
58,{IT0001088} => {IT0001076},0.110222257,0.486519395,2.346240243,2797
59,{IT0001012} => {IT0001088},0.046697667,0.192432608,0.849394653,1185
60,{IT0001088} => {IT0001012},0.046697667,0.206122804,0.849394653,1185
61,{IT0001076,IT0001113} => {IT0001088},0.018442623,0.732394366,3.232777776
62,{IT0001088,IT0001113} => {IT0001076},0.018442623,0.718894009,3.466867043
63,{IT0001076,IT0001088} => {IT0001113},0.018442623,0.167322131,2.596921341
64,{IT0001020,IT0001151} => {IT0001012},0.012886192,0.602209945,2.48159785
65,{IT0001012,IT0001151} => {IT0001020},0.012886192,0.519872814,2.957913123
66,{IT0001012,IT0001020} => {IT0001151},0.012886192,0.149862511,1.657764207
67,{IT0001076,IT0001151} => {IT0001088},0.011388714,0.562256809,2.481793146
68,{IT0001088,IT0001151} => {IT0001076},0.011388714,0.583838384,2.815561161
69,{IT0001076,IT0001088} => {IT0001151},0.011388714,0.103324991,1.142970782
70,{IT0001020,IT0001076} => {IT0001012},0.025181274,0.584095064,2.406949715
71,{IT0001012,IT0001020} => {IT0001076},0.025181274,0.292850596,1.412272276
72,{IT0001012,IT0001076} => {IT0001020},0.025181274,0.526793075,2.997287236
73,{IT0001020,IT0001076} => {IT0001088},0.02376261,0.5511883,2.43293691
74,{IT0001020,IT0001088} => {IT0001076},0.02376261,0.528947368,2.550849187
75,{IT0001076,IT0001088} => {IT0001020},0.02376261,0.21558813,1.226628787
76,{IT0001012,IT0001020} => {IT0001088},0.026442308,0.30751604,1.357371202
77,{IT0001020,IT0001088} => {IT0001012},0.026442308,0.588596491,2.425499279
78,{IT0001012,IT0001088} => {IT0001020},0.026442308,0.566244726,3.221754744
79,{IT0001012,IT0001076} => {IT0001088},0.024550757,0.513602638,2.267034361
80,{IT0001076,IT0001088} => {IT0001012},0.024550757,0.222738649,0.917865532
81,{IT0001012,IT0001088} => {IT0001076},0.024550757,0.525738397,2.535373917
82,{IT0001012,IT0001020,IT0001076} => {IT0001088},0.015329445,0.608763693
83,{IT0001020,IT0001076,IT0001088} => {IT0001012},0.015329445,0.645107794
84,{IT0001012,IT0001020,IT0001088} => {IT0001076},0.015329445,0.579731744
85,{IT0001012,IT0001076,IT0001088} => {IT0001020},0.015329445,0.624398074
